,,,Slide ID,c,b,d,a
,,,Antibody Name,c,b,d,a
,,,HUGO ID,c,b,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4615929061634537,0.29517714824066976,0.38525146860502724,0.5615522622961137
C1,no,Insulin,0.5050505050505051,0.2814261406563163,0.10555074495251837,0.2069094489469522,0.28678171272965947
C1,no,Insulin,1.0101010101010102,0.17616243892232725,0.04259058278100506,0.13877147912352322,0.20854459647249643
C1,no,Insulin,1.5151515151515151,0.11299190132149774,0.01944434679480661,0.10434425446492111,0.17206315493975502
C1,no,Insulin,2.0202020202020203,0.07466575188347867,0.009948708990765085,0.08252860202866781,0.1468337345270011
C1,no,Insulin,2.5252525252525255,0.051159047625444584,0.005617947695821532,0.06701950265088542,0.12689340333738652
C1,no,Insulin,3.0303030303030303,0.036509427300283046,0.0034479469568313484,0.055520833553722386,0.11083434669675592
C1,no,Insulin,3.5353535353535355,0.027181953589146657,0.002271125749258884,0.046894060148432226,0.09800254544405523
C1,no,Insulin,4.040404040404041,0.021090934060335832,0.001590102176831287,0.0404006828534031,0.08784687130726852
C1,no,Insulin,4.545454545454546,0.017004531466156443,0.0011743866767283632,0.03549918982751025,0.0798562459320738
C1,no,Insulin,5.050505050505051,0.014188976086618496,0.0009090664367584232,0.03178233958855404,0.07358172583928325
C1,no,Insulin,5.555555555555556,0.012200338164167395,0.000733224532488967,0.028946307961701265,0.06865098865077578
C1,no,Insulin,6.0606060606060606,0.010764362063157559,0.0006128703375672728,0.026767131748806978,0.06476720709736765
C1,no,Insulin,6.565656565656566,0.009707405467166322,0.0005281924359959993,0.025080765701641614,0.06169887004765309
C1,no,Insulin,7.070707070707071,0.00891669978504368,0.000467202369776705,0.023767104606417747,0.05926730694829386
C1,no,Insulin,7.575757575757576,0.00831708531572689,0.0004223939651570337,0.022737744648774347,0.05733487252260921
C1,no,Insulin,8.080808080808081,0.007857230431716294,0.000388921625303524,0.02192707157553468,0.055795270764804374
C1,no,Insulin,8.585858585858587,0.007501266799148395,0.0003635679635678965,0.021285897688345917,0.054566026396373146
C1,no,Insulin,9.090909090909092,0.0072236118418054045,0.0003441416260911275,0.020776979242217615,0.053582816570718776
C1,no,Insulin,9.595959595959597,0.007005681626497716,0.00032911507692472234,0.020371850466965512,0.052795228855568754
C1,no,Insulin,10.101010101010102,0.00683374617463445,0.00031740044439217775,0.020048553001654697,0.05216353454087266
C1,no,Insulin,10.606060606060607,0.006697544363781783,0.00030821012744559564,0.01979006521883415,0.051656404799858384
C1,no,Insulin,11.111111111111112,0.006589277527432362,0.0003009620132927989,0.01958305448138363,0.051248923709794635
C1,no,Insulin,11.616161616161618,0.006502982951738756,0.000295221792285605,0.019417055843778713,0.05092129096526589
C1,no,Insulin,12.121212121212121,0.006434053072775857,0.0002906604095348807,0.01928380953537884,0.05065773295835573
C1,no,Insulin,12.626262626262626,0.00637889362940665,0.00028702555855331053,0.01917676151936838,0.050445624540920005
C1,no,Insulin,13.131313131313131,0.0063346891271517285,0.00028412247001383096,0.01909070077937749,0.050274860386878374
C1,no,Insulin,13.636363636363637,0.006299226652474293,0.0002817999524112117,0.019021480688033995,0.050137353868620185
C1,no,Insulin,14.141414141414142,0.006270747075229319,0.0002799388918096167,0.018965775505505354,0.05002659300316615
C1,no,Insulin,14.646464646464647,0.006247854124317471,0.00027844549510793354,0.01892092464817877,0.04993735019132513
C1,no,Insulin,15.151515151515152,0.00622944244775235,0.0002772461420353424,0.018884805229701682,0.04986543830693365
C1,no,Insulin,15.656565656565657,0.006214629279276024,0.00027628237361044107,0.018855712780191238,0.04980748705580148
C1,no,Insulin,16.161616161616163,0.0062027058587309294,0.0002755073596265158,0.018832274778300986,0.04976078093601539
C1,no,Insulin,16.666666666666668,0.006193103937906651,0.0002748836868294382,0.018813387345852046,0.04972313213833679
C1,no,Insulin,17.171717171717173,0.006185369212643642,0.0002743815906794398,0.018798164503881346,0.04969278040012736
C1,no,Insulin,17.67676767676768,0.006179137881594165,0.000273977302209982,0.01878589467012789,0.04966831077879858
C1,no,Insulin,18.181818181818183,0.006174117717721227,0.0002736517414024787,0.018776005599130965,0.049648585415099686
C1,no,Insulin,18.68686868686869,0.0061700726385146435,0.00027338949837013885,0.018768034836311037,0.04963268457650215
C1,no,Insulin,19.191919191919194,0.006166812376737938,0.00027317817836019446,0.018761609154605653,0.04961986513865633
C1,no,Insulin,19.6969696969697,0.006164184111899848,0.000273007846269851,0.0187564283336731,0.04960952867574024
C1,no,Insulin,20.202020202020204,0.0061620651236037865,0.0002728705423901885,0.018752250855216597,0.049601193268300876
C1,no,Insulin,20.70707070707071,0.006160356785845011,0.0002727598683413298,0.018748882456663354,0.04959447158454564
C1,no,Insulin,21.212121212121215,0.006158979603659404,0.0002726706644052281,0.018746166610300295,0.04958905162375392
C1,no,Insulin,21.71717171717172,0.00615786982122613,0.0002725987900479807,0.018743977768504182,0.04958468325934112
C1,no,Insulin,22.222222222222225,0.006156975114479787,0.0002725408421064146,0.018742213073396158,0.04958116161527816
C1,no,Insulin,22.72727272727273,0.006156253647550871,0.0002724941145985991,0.018740790090497433,0.049578321844129775
C1,no,Insulin,23.232323232323235,0.00615567189356677,0.0002724564365629052,0.01873964269362892,0.049576031955178256
C1,no,Insulin,23.73737373737374,0.0061552024845540005,0.00027242603949891844,0.018738716829824538,0.04957418394287404
C1,no,Insulin,24.242424242424242,0.006154823856025767,0.0002724015237753237,0.018737969923309502,0.049572693098562555
C1,no,Insulin,24.747474747474747,0.006154518568508625,0.00027238175776636466,0.018737367628598737,0.04957149094124362
C1,no,Insulin,25.252525252525253,0.006154272473860092,0.0002723658228085715,0.018736882094360682,0.04957052195632022
C1,no,Insulin,25.757575757575758,0.00615407414484099,0.0002723529791679035,0.018736490838386192,0.04956974116534414
C1,no,Insulin,26.262626262626263,0.006153914548281234,0.0002723426427792204,0.01873617601227634,0.04956911293291696
C1,no,Insulin,26.767676767676768,0.006153785759991684,0.00027233430342637766,0.018735921997370716,0.049568605877948486
C1,no,Insulin,27.272727272727273,0.006153682104765897,0.0002723275917333696,0.018735717559385613,0.049568197759391204
C1,no,Insulin,27.77777777777778,0.0061535982396772534,0.0002723221634388922,0.018735552111241446,0.04956786741051134
C1,no,Insulin,28.282828282828284,0.006153530607986514,0.00027231778616229233,0.018735418668187002,0.049567600978074354
C1,no,Insulin,28.78787878787879,0.006153475847042165,0.0002723142412791241,0.018735310585922104,0.04956738527694985
C1,no,Insulin,29.292929292929294,0.006153431642391365,0.000272311379370194,0.01873522333763157,0.04956721118268328
C1,no,Insulin,29.7979797979798,0.006153395933754432,0.0002723090664102399,0.01873515288291134,0.04956707063404173
C1,no,Insulin,30.303030303030305,0.006153367144494296,0.00027230720153449797,0.01873509609610163,0.0495669573335456
