,,,Slide ID,b,c,e,a,d
,,,Antibody Name,b,c,e,a,d
,,,HUGO ID,b,c,e,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.307940097764938,0.26253419275435697,0.13385557968393869,0.3634215410501559,0.23037719853017524
C1,no,Insulin,0.5050505050505051,0.24307333743663798,0.09916775943431333,0.13073491800165782,0.1763663036678072,0.20567209248573495
C1,no,Insulin,1.0101010101010102,0.20411319727577856,0.04919633776093338,0.1293501845850525,0.13295674065870683,0.18627528460345477
C1,no,Insulin,1.5151515151515151,0.1807795512731306,0.03380200586040559,0.12873275121034672,0.12293159569950132,0.17542299611466525
C1,no,Insulin,2.0202020202020203,0.16683431875059973,0.029035342646098642,0.12845684302799623,0.12056784774899085,0.17018095302292652
C1,no,Insulin,2.5252525252525255,0.15851315449594117,0.02753023988706587,0.1283334284992488,0.11998376253842866,0.16774048811993963
C1,no,Insulin,3.0303030303030303,0.1535537355056408,0.027036105784336184,0.12827820051047287,0.11982777948170699,0.16659841896893812
C1,no,Insulin,3.5353535353535355,0.15060052408156036,0.02686414268352651,0.12825348109808102,0.11978140699916742,0.16605596156891725
C1,no,Insulin,4.040404040404041,0.14884312187597412,0.026799854406594444,0.1282424159842316,0.11976586296835681,0.16579481003172492
C1,no,Insulin,4.545454545454546,0.14779784263876333,0.026773979046273544,0.12823746269871455,0.11976006330916562,0.1656678736451083
C1,no,Insulin,5.050505050505051,0.1471763561168487,0.026762871127386272,0.12823524532780642,0.11975772510529063,0.1656058014399218
C1,no,Insulin,5.555555555555556,0.1468069488219663,0.026757862863353826,0.1282342527593295,0.11975673571487744,0.16557534414852618
C1,no,Insulin,6.0606060606060606,0.14658741839266304,0.026755525722748166,0.1282338082944542,0.11975630484288625,0.16556037029419576
C1,no,Insulin,6.565656565656566,0.14645697735910543,0.02675441407703569,0.12823360935493477,0.11975611516032636,0.16555300475502457
C1,no,Insulin,7.070707070707071,0.14637948304925943,0.026753879332718222,0.12823352033581134,0.11975603240488333,0.1655493813390492
C1,no,Insulin,7.575757575757576,0.14633344447245233,0.0267536172821092,0.12823348040805338,0.11975599271219753,0.16554759772162292
C1,no,Insulin,8.080808080808081,0.14630609699631542,0.026753491834601916,0.1282334625942655,0.11975597870324954,0.16554672086327296
C1,no,Insulin,8.585858585858587,0.14628985287844967,0.0267534283016601,0.12823345461177127,0.11975596726734422,0.16554629072368562
C1,no,Insulin,9.090909090909092,0.14628020462031396,0.026753398505645853,0.12823345106007505,0.11975596549998978,0.1655460789104058
C1,no,Insulin,9.595959595959597,0.14627447470056246,0.026753383820618423,0.12823344947068302,0.11975596452627973,0.16554597494988388
C1,no,Insulin,10.101010101010102,0.1462710714317471,0.026753376595013957,0.12823344875892967,0.11975596396418206,0.16554592393884507
C1,no,Insulin,10.606060606060607,0.1462690448929862,0.02675337303498248,0.12823344843885487,0.1197559636797793,0.16554589881079704
C1,no,Insulin,11.111111111111112,0.14626785347378163,0.026753371318761803,0.12823344829952452,0.11975596356295999,0.16554588673390983
C1,no,Insulin,11.616161616161618,0.14626713722830406,0.026753370450532946,0.1282334482316129,0.1197559634775928,0.1655458805402232
C1,no,Insulin,12.121212121212121,0.14626671244968073,0.026753370021678217,0.12823344820251437,0.11975596346173709,0.16554587754017405
C1,no,Insulin,12.626262626262626,0.1462664618138465,0.026753369804903004,0.1282334481916482,0.11975596348915002,0.16554587613572308
C1,no,Insulin,13.131313131313131,0.14626631069968302,0.02675336969271344,0.12823344818489263,0.11975596348457605,0.16554587536858764
C1,no,Insulin,13.636363636363637,0.14626622061524,0.026753369667941517,0.12823344818119203,0.11975596342576773,0.16554587501326573
C1,no,Insulin,14.141414141414142,0.1462661679949507,0.026753369680661134,0.12823344818122917,0.11975596337936745,0.1655458749225683
C1,no,Insulin,14.646464646464647,0.146266137159975,0.026753369652928446,0.12823344818213864,0.1197559634270605,0.16554587486151257
C1,no,Insulin,15.151515151515152,0.14626611579335924,0.02675336961069144,0.12823344818249505,0.11975596349677058,0.16554587478960897
C1,no,Insulin,15.656565656565657,0.14626609957864817,0.026753369613573674,0.12823344818284782,0.11975596348949166,0.165545874779247
C1,no,Insulin,16.161616161616163,0.14626609177485175,0.0267533696184814,0.12823344818276278,0.11975596347668853,0.16554587477932345
C1,no,Insulin,16.666666666666668,0.14626608856487155,0.026753369623233034,0.12823344818250987,0.11975596346408807,0.1655458747833587
C1,no,Insulin,17.171717171717173,0.14626608515352008,0.026753369625087967,0.1282334481824282,0.11975596345888462,0.1655458747832127
C1,no,Insulin,17.67676767676768,0.1462660850672171,0.02675336962606166,0.12823344818226842,0.11975596345578741,0.1655458747848717
C1,no,Insulin,18.181818181818183,0.14626608380415954,0.02675336962786264,0.12823344818204377,0.11975596345019211,0.16554587478698565
C1,no,Insulin,18.68686868686869,0.14626608590519277,0.02675336962738284,0.12823344818198945,0.11975596345145181,0.16554587478797783
C1,no,Insulin,19.191919191919194,0.14626608800622604,0.02675336962690304,0.12823344818193513,0.11975596345271151,0.16554587478897
C1,no,Insulin,19.6969696969697,0.14626608950184694,0.02675336962660182,0.12823344818189814,0.11975596345352679,0.16554587478968616
C1,no,Insulin,20.202020202020204,0.14626609008120534,0.026753369626570878,0.12823344818188737,0.11975596345366946,0.16554587478998448
C1,no,Insulin,20.70707070707071,0.14626609066056373,0.026753369626539934,0.1282334481818766,0.11975596345381212,0.1655458747902828
C1,no,Insulin,21.212121212121215,0.14626609123992212,0.02675336962650899,0.12823344818186586,0.1197559634539548,0.16554587479058114
C1,no,Insulin,21.71717171717172,0.14626609181928055,0.026753369626478046,0.1282334481818551,0.11975596345409746,0.16554587479087945
