,,,Slide ID,b,e,a,d,c,g,f
,,,Antibody Name,b,e,a,d,c,g,f
,,,HUGO ID,b,e,a,d,c,g,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2780438987835464,0.538314404857095,0.33871359929740474,0.5759834326987737,0.5455757230245314,0.31427994775235546,0.8392775502468968
C1,no,Insulin,0.33557046979865773,0.30478678669786163,0.382415118552853,0.30844673141418527,0.45182353041638623,0.40976602521332545,0.1790860272333961,0.647785361306431
C1,no,Insulin,0.6711409395973155,0.3083815447582351,0.27692938822064234,0.28496840332469714,0.37034797452631957,0.3365705765110245,0.10983194447909236,0.516727486641854
C1,no,Insulin,1.0067114093959733,0.3042261332208251,0.20552830790325954,0.2662273054930977,0.3160901851455015,0.296093865194751,0.07390678795668708,0.42664891842958397
C1,no,Insulin,1.342281879194631,0.2979497235527901,0.15716043864666462,0.25100761286914086,0.2793663163357349,0.2728556082676436,0.05497091377491396,0.3643980859404893
C1,no,Insulin,1.6778523489932886,0.29155666255718554,0.1243385298814634,0.23856665343984823,0.25410673927842686,0.2588305935462722,0.0447678462170053,0.3210915903265023
C1,no,Insulin,2.0134228187919465,0.28572395816639345,0.10200029008212748,0.22840957876419227,0.23647679418361509,0.24985145099152306,0.039098579552739536,0.29073211488968437
C1,no,Insulin,2.348993288590604,0.28064609947577235,0.08673359216755361,0.2201646682663505,0.22401801166761634,0.24374493158520794,0.03581680923082777,0.2692690805395008
C1,no,Insulin,2.684563758389262,0.27634006670159766,0.07624462338579822,0.21352356335024666,0.21512356882882286,0.23936557569065342,0.03381969711612273,0.25396151567546044
C1,no,Insulin,3.0201342281879198,0.27275504219742774,0.0689934583451034,0.20821751252312462,0.20872128497163778,0.23609574892212407,0.03253618978561335,0.2429477155069671
C1,no,Insulin,3.3557046979865772,0.26981373001795705,0.06394607095648897,0.2040102104932618,0.20408173517849781,0.23358847624482337,0.031666719177794525,0.2349560558883221
C1,no,Insulin,3.691275167785235,0.2674301219626717,0.060406887302224654,0.20069635514308745,0.2007004629656674,0.23163635540764113,0.03105067465577536,0.22911155837947308
C1,no,Insulin,4.026845637583893,0.2655186224408822,0.057906474297620615,0.19810095534724387,0.19822400430868278,0.23010547193087835,0.03059899285502112,0.22480690453636618
C1,no,Insulin,4.3624161073825505,0.2639992499915011,0.05612656751425535,0.19607774630631436,0.19640216734938962,0.2289023865294276,0.03025990075867283,0.22161649251806592
C1,no,Insulin,4.697986577181208,0.26280047469633466,0.054850166773753296,0.19450658426296716,0.19505644654839668,0.22795766752123842,0.030001505019137207,0.21923907403871803
C1,no,Insulin,5.033557046979866,0.261860416341193,0.05392834477832708,0.1932902132459591,0.1940586604903783,0.2272175226368606,0.02980290024111389,0.21745929637975409
C1,no,Insulin,5.369127516778524,0.26112691450953696,0.05325816142193527,0.1923508294087333,0.19331625784290266,0.22663933157387398,0.02964958459915988,0.21612175599971395
C1,no,Insulin,5.704697986577181,0.2605568954965142,0.05276791748992052,0.19162677982003898,0.1927620829476399,0.22618901144741901,0.029531025442913077,0.21511332450178391
C1,no,Insulin,6.0402684563758395,0.2601153634708164,0.052407279415377137,0.1910695739656184,0.19234718085174296,0.2258392788999451,0.029439326238390035,0.2143509988659226
C1,no,Insulin,6.375838926174497,0.2597742457066771,0.05214063195325785,0.19064129515523393,0.1920357040616037,0.2255683602374497,0.02936844871109244,0.21377345558192368
C1,no,Insulin,6.7114093959731544,0.25951125155881066,0.05194258500410282,0.19031243526188363,0.19180129775715682,0.22535896120580443,0.02931372297947896,0.21333512494276122
C1,no,Insulin,7.046979865771813,0.2593088230952491,0.051794899500010795,0.19006011293011352,0.1916245048122876,0.2251974192604953,0.029271519111898448,0.21300196836984034
C1,no,Insulin,7.38255033557047,0.2591532169105066,0.051684378816639044,0.18986663576473625,0.1914909040231147,0.22507299503322478,0.029239010218748272,0.2127484496985718
C1,no,Insulin,7.718120805369128,0.25903372462844704,0.05160141384917829,0.18971835202728024,0.1913897675604822,0.2249772857659389,0.02921399687018756,0.2125553448952826
C1,no,Insulin,8.053691275167786,0.25894203950631034,0.05153896948521913,0.18960474945352893,0.19131309210239728,0.22490374458892606,0.029194770369656804,0.2124081449962277
C1,no,Insulin,8.389261744966444,0.25887173634932126,0.051491860277365714,0.18951774471745647,0.1912548853118988,0.22484728625279796,0.02918000373585446,0.2122958655997959
