,,,Slide ID,e,b,c,d,g,f,a
,,,Antibody Name,e,b,c,d,g,f,a
,,,HUGO ID,e,b,c,d,g,f,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5388858764923218,0.18521932287727816,0.751911498389734,0.800750612197181,0.05810008943664524,0.7720817600795165,0.14826122337882874
C1,no,Insulin,0.33557046979865773,0.2320429745563087,0.15353280901283337,0.4742341830033853,0.5442112443828534,0.1348597313707494,0.4128906575546341,0.14185503994931425
C1,no,Insulin,0.6711409395973155,0.11008116192838871,0.1585659218288103,0.3340892548165331,0.389377728385288,0.18017842177771848,0.277235417613146,0.13759785496475668
C1,no,Insulin,1.0067114093959733,0.062393116547251444,0.1712660128231486,0.2661152175953489,0.29571659868384986,0.21023328061271804,0.23017866804376935,0.137813801001173
C1,no,Insulin,1.342281879194631,0.04431564573990783,0.18311140224780242,0.23440345415579514,0.23921858674879296,0.23129177891614866,0.21726707454984728,0.14034012403383597
C1,no,Insulin,1.6778523489932886,0.03786416605703489,0.19207984772763048,0.22025500340829932,0.2052778634610122,0.24626291047805912,0.2165015652098609,0.1433739479797195
C1,no,Insulin,2.0134228187919465,0.03584572239660462,0.19829597893951134,0.2143246211282216,0.184992808884194,0.25686996595449,0.2193027440065747,0.1460528744093145
C1,no,Insulin,2.348993288590604,0.035425001570966605,0.20242531325897423,0.212092976060329,0.17294904557992868,0.2643148509359819,0.22256199179912722,0.14812401451885854
C1,no,Insulin,2.684563758389262,0.03551539360787509,0.20511598190522481,0.2114407640371534,0.16585945772686864,0.26948739138033423,0.22531897490514288,0.1496148680710026
C1,no,Insulin,3.0201342281879198,0.035722009432438015,0.20685771395575747,0.21140752259973056,0.16173242126621015,0.2730488402838614,0.22740276594391165,0.1506443746358702
C1,no,Insulin,3.3557046979865772,0.03591618476700029,0.2079854742029924,0.211577073958775,0.15936469441450812,0.27548298324563847,0.22889611822646005,0.1513381003917751
C1,no,Insulin,3.691275167785235,0.03606666886471491,0.2087183151674365,0.21178125345105908,0.15803234256746776,0.2771370943189864,0.22993636439313264,0.15179907447470956
C1,no,Insulin,4.026845637583893,0.03617443621080901,0.20919682677239812,0.21196062473738833,0.15730226902732516,0.27825623459213467,0.23064938356404335,0.15210316977004062
C1,no,Insulin,4.3624161073825505,0.03624870175056593,0.20951079636353576,0.21210074402521278,0.15691728964545243,0.2790109616888675,0.2311334897362162,0.15230317733589088
C1,no,Insulin,4.697986577181208,0.03629887455376628,0.2097176981840248,0.21220393602607196,0.15672612277845363,0.27951871723858324,0.23146029406042004,0.1524346767522132
C1,no,Insulin,5.033557046979866,0.036332429318313146,0.2098545362792354,0.21227741103071487,0.15664084271883294,0.2798597250768331,0.2316801356157858,0.1525212330413951
C1,no,Insulin,5.369127516778524,0.036354762204227245,0.20994529424589634,0.21232865265686202,0.15661114852545754,0.2800884573827473,0.23182770022194268,0.15257831378034395
C1,no,Insulin,5.704697986577181,0.03636959790541984,0.2100056206981353,0.21236391406746813,0.15660885039259975,0.2802417406519713,0.23192661337200282,0.1526160364019464
C1,no,Insulin,6.0402684563758395,0.03637945082925657,0.21004578595557305,0.2123879658682925,0.15661858889733452,0.28034439804152295,0.23199285907616884,0.15264101909345554
C1,no,Insulin,6.375838926174497,0.03638599743307004,0.21007255956242754,0.21240427414212742,0.15663234552327024,0.28041311799099505,0.23203720086477508,0.1526575956170293
C1,no,Insulin,6.7114093959731544,0.03639035120761684,0.2100904218197321,0.21241528702574186,0.15664619942475014,0.280459104025359,0.23206687050386418,0.15266861229126671
C1,no,Insulin,7.046979865771813,0.0363932487089699,0.21010234691041485,0.21242270211766745,0.15665845114619334,0.28048987101188705,0.23208671817134605,0.15267594416995509
C1,no,Insulin,7.38255033557047,0.03639517937274963,0.21011031147798104,0.21242768558305827,0.15666856481023103,0.28051045152418536,0.23209999360563804,0.15268082887464307
C1,no,Insulin,7.718120805369128,0.03639646621203965,0.21011563274282202,0.21243102963191818,0.15667656092667576,0.28052421700246094,0.2321088718300675,0.15268408610378198
C1,no,Insulin,8.053691275167786,0.03639732493874777,0.21011918862774853,0.21243327165891931,0.1566827008657646,0.2805334228330136,0.232114809124322,0.15268625945947287
C1,no,Insulin,8.389261744966444,0.03639789840443585,0.2101215661139422,0.21243477373995778,0.1566873146359823,0.28053958105293886,0.23211878059249172,0.15268771075238152
C1,no,Insulin,8.724832214765101,0.036398280760242145,0.21012315472557597,0.2124357794226608,0.15669072787526792,0.28054369815728664,0.23212143527846635,0.1526886799052759
C1,no,Insulin,9.060402684563758,0.036398536508274695,0.21012421688605976,0.21243645271238754,0.15669322110584105,0.280546451406724,0.23212321084773477,0.15268932736073598
C1,no,Insulin,9.395973154362416,0.03639870717473245,0.2101249262620153,0.21243690258530815,0.1566950218333848,0.2805482905818093,0.23212439674059343,0.15268975951941569
C1,no,Insulin,9.731543624161075,0.036398820815822346,0.2101254000343795,0.2124372035140417,0.15669631199044476,0.28054951946066514,0.23212518892909442,0.15269004829297522
C1,no,Insulin,10.067114093959733,0.03639889709251944,0.21012571745674027,0.21243740512295006,0.15669723000665645,0.2805503425932988,0.2321257197523576,0.15269024159936595
C1,no,Insulin,10.40268456375839,0.03639894842462073,0.21012593011305003,0.2124375400101712,0.1566978797487552,0.28055089386624515,0.2321260753407579,0.15269037088098797
C1,no,Insulin,10.738255033557047,0.03639898251281703,0.210126071924639,0.21243763011732272,0.15669833716745915,0.2805512617530696,0.23212631249247467,0.15269045721238828
C1,no,Insulin,11.073825503355705,0.036399005056663686,0.21012616694328656,0.21243769072340593,0.15669865793045548,0.2805515084894682,0.23212647143024076,0.15269051527844638
C1,no,Insulin,11.409395973154362,0.03639902016563182,0.21012623106534095,0.21243773164389926,0.15669888238754,0.280551674934112,0.23212657868771613,0.15269055448634777
C1,no,Insulin,11.74496644295302,0.036399030593011986,0.210126274256362,0.21243775895700268,0.15669903916744649,0.28055178670396336,0.23212665089611068,0.15269058063387414
C1,no,Insulin,12.080536912751679,0.03639903798952572,0.21012630324544937,0.21243777708340164,0.15669914950451008,0.2805518615772989,0.2321266993554313,0.1526905979366835
C1,no,Insulin,12.416107382550337,0.03639904286881313,0.21012632152652402,0.21243778852307998,0.15669922360887606,0.2805519089283604,0.2321267299440909,0.15269060883009922
C1,no,Insulin,12.751677852348994,0.036399045964165,0.21012633424850824,0.21243779679403124,0.15669927679959889,0.280551942253359,0.2321267512692598,0.15269061675400042
C1,no,Insulin,13.087248322147651,0.03639904755077058,0.21012634228864832,0.21243780225015624,0.15669931212460678,0.28055196351098627,0.2321267647497031,0.1526906220357977
C1,no,Insulin,13.422818791946309,0.036399048303733486,0.21012634748219297,0.2124378057551627,0.15669933575881576,0.28055197708908686,0.232126773410328,0.15269062545534975
C1,no,Insulin,13.758389261744966,0.036399048825602506,0.21012635104753796,0.21243780796094905,0.15669935197598975,0.2805519861162138,0.23212677931286044,0.15269062758476262
C1,no,Insulin,14.093959731543626,0.036399049396893424,0.21012635354065187,0.21243780928494685,0.15669936308788043,0.28055199219914934,0.23212678342794227,0.15269062881437642
C1,no,Insulin,14.429530201342283,0.036399050136645204,0.2101263552740815,0.21243781008770862,0.15669937075255672,0.2805519964044953,0.2321267863229332,0.15269062950599202
C1,no,Insulin,14.76510067114094,0.036399050892373996,0.21012635640809024,0.212437810675822,0.1566993760650821,0.28055199934151287,0.2321267882718627,0.15269063000813074
C1,no,Insulin,15.100671140939598,0.0363990514572155,0.2101263571101982,0.21243781118838959,0.15669937972088868,0.2805520013794256,0.2321267895149568,0.15269063048500392
C1,no,Insulin,15.436241610738255,0.03639905182762003,0.2101263576920477,0.2124378115979564,0.15669938268898168,0.28055200301780614,0.23212679052834623,0.15269063086885717
C1,no,Insulin,15.771812080536913,0.03639905201818831,0.21012635817687697,0.21243781189409375,0.15669938503524275,0.2805520042903291,0.23212679134922,0.15269063114324258
C1,no,Insulin,16.107382550335572,0.036399051976831874,0.2101263584817832,0.21243781211400634,0.1566993865246374,0.2805520050768594,0.23212679184490526,0.15269063136683841
C1,no,Insulin,16.44295302013423,0.03639905171906333,0.21012635861429663,0.21243781225975264,0.15669938719308832,0.2805520053983145,0.23212679202976372,0.15269063154003149
C1,no,Insulin,16.778523489932887,0.036399051690510345,0.21012635879073613,0.21243781239046716,0.1566993880725379,0.28055200585558365,0.23212679231636152,0.15269063167393224
C1,no,Insulin,17.114093959731544,0.03639905163290937,0.21012635888573408,0.2124378124718785,0.15669938856492385,0.28055200610042147,0.2321267924655959,0.1526906317621016
C1,no,Insulin,17.449664429530202,0.036399051546260414,0.21012635889929052,0.21243781250398672,0.15669938867024616,0.280552006132828,0.23212679247746687,0.15269063180453954
C1,no,Insulin,17.78523489932886,0.03639905141611801,0.21012635900309026,0.2124378126086836,0.15669938922608817,0.28055200639608313,0.23212679263214625,0.15269063192430304
C1,no,Insulin,18.120805369127517,0.036399051401505296,0.21012635894609066,0.21243781257501507,0.15669938896830884,0.28055200625028454,0.23212679253708765,0.15269063189289162
C1,no,Insulin,18.456375838926174,0.03639905138689259,0.2101263588890911,0.21243781254134653,0.15669938871052955,0.28055200610448594,0.23212679244202902,0.15269063186148016
C1,no,Insulin,18.79194630872483,0.036399051372279875,0.21012635883209152,0.212437812507678,0.15669938845275022,0.28055200595868734,0.2321267923469704,0.15269063183006873
C1,no,Insulin,19.12751677852349,0.03639905136771212,0.21012635881397612,0.21243781249682228,0.15669938836920802,0.28055200591224344,0.23212679231675157,0.1526906318198841
C1,no,Insulin,19.46308724832215,0.03639905136548227,0.21012635880491082,0.2124378124912761,0.1566993883262184,0.28055200588892376,0.23212679230162384,0.1526906318146399
C1,no,Insulin,19.798657718120808,0.03639905136325242,0.21012635879584549,0.21243781248572993,0.1566993882832288,0.280552005865604,0.23212679228649608,0.1526906318093957
C1,no,Insulin,20.134228187919465,0.036399051361022575,0.21012635878678018,0.21243781248018379,0.15669938824023918,0.28055200584228435,0.23212679227136834,0.15269063180415152
C1,no,Insulin,20.469798657718123,0.036399051358792726,0.21012635877771488,0.2124378124746376,0.1566993881972496,0.2805520058189646,0.23212679225624058,0.1526906317989073
C1,no,Insulin,20.80536912751678,0.03639905135656288,0.21012635876864955,0.21243781246909144,0.15669938815426,0.28055200579564493,0.23212679224111285,0.1526906317936631
C1,no,Insulin,21.140939597315437,0.03639905135433303,0.21012635875958424,0.21243781246354526,0.15669938811127038,0.28055200577232525,0.23212679222598512,0.1526906317884189
