,,,Slide ID,g,d,i,c,a,e,f,j,h,k,b
,,,Antibody Name,g,d,i,c,a,e,f,j,h,k,b
,,,HUGO ID,g,d,i,c,a,e,f,j,h,k,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3026838663342438,0.036674273792740575,0.4848947862599159,0.022345900158524223,0.5779761868510858,0.45720004158758,0.6180008878526307,0.32571589445172866,0.22591418433808985,0.34595821298131335,0.3293414958469648
C1,no,Insulin,0.33557046979865773,0.2115030191626349,0.07515183995345762,0.3266027290948262,0.11232153792133649,0.3165950990487675,0.2967728060901006,0.41666110286355157,0.20050180039324533,0.13742110959622528,0.2994933514155686,0.2597349349807744
C1,no,Insulin,0.6711409395973155,0.1750975225141712,0.10590167553199473,0.2730729029063967,0.13466976834732894,0.18365854613864227,0.2215020182576445,0.2842612419599835,0.1288383050328468,0.08972828455488724,0.29242690257455417,0.22589744978180176
C1,no,Insulin,1.0067114093959733,0.15678277137365995,0.12792009169974913,0.25009144836879676,0.1325898109763555,0.11644853993738694,0.1886809758593248,0.19817656420595553,0.08862082648916633,0.0645305719643465,0.29055665824093757,0.21099572427703392
C1,no,Insulin,1.342281879194631,0.14513727664476184,0.14283990448769343,0.23668810520914035,0.1233918144683971,0.08259909019017135,0.17616096546460477,0.14261494403292999,0.06636386051027642,0.051374492095044286,0.2875602168675168,0.20573312323058482
C1,no,Insulin,1.6778523489932886,0.13639607300570625,0.15259286040955553,0.22666891500146838,0.11390394088309504,0.06555744240638413,0.17273269727463647,0.10691056108675075,0.05415314962217621,0.044524634850930445,0.2829901562152292,0.20502815806788136
C1,no,Insulin,2.0134228187919465,0.1294487538975952,0.1588050763967802,0.21854058385273906,0.10639017354424553,0.05692252527073197,0.1729577810359481,0.08400810262133457,0.04746463689750651,0.040919165062238805,0.2777616546409024,0.20620922602349964
C1,no,Insulin,2.348993288590604,0.12399220509461514,0.16268971485287598,0.2120815238370818,0.10113621146060116,0.05247798926575582,0.1743544970387347,0.06931622663894532,0.04377757094283779,0.03897031132558967,0.2727812754138987,0.20795640107852797
