,,,Slide ID,b,h,i,d,g,c,m,f,a,l,j,k,e
,,,Antibody Name,b,h,i,d,g,c,m,f,a,l,j,k,e
,,,HUGO ID,b,h,i,d,g,c,m,f,a,l,j,k,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5974213696157394,0.3939112798983888,0.516783843677515,0.12667468553056138,0.9943082674114194,0.05625321052556986,0.6417300597122003,0.9450799498780537,0.8664770638382908,0.6414263708248071,0.18401973568630525,0.880891178803884,0.9991474533295228
C1,no,Insulin,0.33557046979865773,0.41597432664150125,0.3110899562328419,0.40862863607151395,0.23372581014784038,0.8078348786663984,0.15234583404495888,0.49392295513640666,0.6013017099032366,0.525281868650194,0.296086805577474,0.21223447183944907,0.5287953999752496,0.7139686262898168
C1,no,Insulin,0.6711409395973155,0.2946660810190254,0.2551972446191735,0.3518959847310616,0.28865966970594836,0.6497344913050117,0.20582855828425745,0.382391306238827,0.3974122624373017,0.35963391485590995,0.15013457037501562,0.21415654930287162,0.3865380326182935,0.5298374600321394
C1,no,Insulin,1.0067114093959733,0.21273441267675164,0.21549199117720036,0.3189435282222718,0.31272174647593964,0.5191794654827564,0.2330296359547453,0.2990389888657738,0.27457208191043986,0.2737296716784082,0.08592858215340453,0.20328494024756194,0.3211358451752141,0.4086107578250413
C1,no,Insulin,1.342281879194631,0.15683007763777362,0.1855744791730894,0.2968317769012897,0.31855893373412236,0.41454484382714907,0.24410360961062227,0.23851290253039556,0.1986883986269854,0.22459860269902787,0.05587805584492877,0.1867813394561531,0.2838500263548728,0.32672498452271603
C1,no,Insulin,1.6778523489932886,0.118277790175369,0.16209618899424982,0.2797310014607145,0.3138763175720882,0.33276058713187384,0.2454647785220649,0.19578298653172196,0.15034829926703033,0.19323992304885332,0.040546972068446506,0.16857413254664155,0.2572682697962664,0.26971573371745095
C1,no,Insulin,2.0134228187919465,0.09139184821026972,0.1432503420649772,0.2651591684946849,0.303450497414088,0.26992026027568694,0.24120030925034344,0.16607665429036952,0.11848924516569115,0.1711799497184848,0.03187778389420447,0.15077469487970044,0.2354507173900506,0.2287275379719771
C1,no,Insulin,2.348993288590604,0.07241597389278508,0.12796596426723242,0.2521501684889462,0.29026608939609294,0.22208783368198656,0.23391802667788794,0.1453855593102192,0.09675398419790487,0.1545375613590494,0.026445783257325595,0.13444178738960832,0.2165148970411504,0.19832544693123072
