,,,Slide ID,d,h,c,b,a,i,e,m,l,n,k,g,j,f
,,,Antibody Name,d,h,c,b,a,i,e,m,l,n,k,g,j,f
,,,HUGO ID,d,h,c,b,a,i,e,m,l,n,k,g,j,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3673019095611222,0.7942254449504743,0.2949747029251977,0.831338177672028,0.32509482584124083,0.07398647110525003,0.5328006098539411,0.1152686444775719,0.6852333598952528,0.6043679732973543,0.02822112547027056,0.5254538693527577,0.6905712825821353,0.45357313586037507
C1,no,Insulin,0.33557046979865773,0.3335357239264532,0.4132567426646876,0.3052008558935763,0.6237835540986342,0.2774715280547162,0.11839424260367283,0.3614473351016711,0.21685927868342833,0.4680712643107152,0.3678902662221157,0.03598112182889389,0.2873023563623849,0.32538776639379685,0.30976610672040306
C1,no,Insulin,0.6711409395973155,0.291460465301074,0.24695846217352246,0.28269786630938604,0.47381656757551116,0.23206070638976256,0.1348730535339954,0.26899116945991114,0.22960433378862585,0.33127412094202197,0.23782519893028928,0.04123468452391945,0.19573478319681628,0.17649005687561872,0.2162168036525753
C1,no,Insulin,1.0067114093959733,0.25326662666541655,0.17465445636575033,0.2547807348719842,0.3658678102823871,0.19522767893435514,0.13674971304770994,0.2156557351271264,0.21639443375551562,0.24392978657716766,0.1643707534953963,0.04357554621230167,0.161150995950193,0.11614833191479712,0.15415947877906358
C1,no,Insulin,1.342281879194631,0.2220608602524172,0.1428692664236288,0.22983617798196757,0.2882785272442031,0.16720876282423433,0.13158204931806056,0.1827915621839825,0.19841262429914225,0.1873643079550337,0.12157088837861454,0.04367884073387682,0.14779931953920347,0.09145242341460298,0.11232373009449696
C1,no,Insulin,1.6778523489932886,0.19791875418611835,0.12819207645398054,0.20989869405518752,0.23259143018348782,0.1466210416389931,0.12363322948100192,0.16148770980714805,0.18228221781671383,0.15028793233839835,0.09585917632307105,0.04233223731637394,0.1417985694685411,0.08075450931344011,0.08370978878840805
C1,no,Insulin,2.0134228187919465,0.17990123742153696,0.1205390060863801,0.19484787536699621,0.19270798490814445,0.1318385266964208,0.11520382407915106,0.14724055526054944,0.1695644823200277,0.1257657638286376,0.07999662744283016,0.040191198790716386,0.1379962965428198,0.07536055045220733,0.06388555542879554
C1,no,Insulin,2.348993288590604,0.16682183632086944,0.11568388212478999,0.18390493848224146,0.16422738703331347,0.12141338371581552,0.10743384951477147,0.1375790243782676,0.16014095594315472,0.10945322713909725,0.07000552599521777,0.03773304830786287,0.13465525767578457,0.07189334561760014,0.04999873160747275
C1,no,Insulin,2.684563758389262,0.15754894551131124,0.11194185422231573,0.1761795476371908,0.14396665668529912,0.11417624332172475,0.10079592219828505,0.13101845492335842,0.15342068450512458,0.09857421407755779,0.06362368801633633,0.035273552024334624,0.13132688681544752,0.06912311172784408,0.04018376503342781
C1,no,Insulin,3.0201342281879198,0.15111536586514737,0.10870375638610716,0.17086509216017287,0.12961914500042077,0.10922713204153303,0.09539646685650652,0.12659478566591953,0.14876249213043416,0.09132241160835512,0.05951697341105513,0.033000755729029836,0.12801001932915845,0.0666600362548429,0.033199817669792235
C1,no,Insulin,3.3557046979865772,0.1467434077005484,0.10579297651443342,0.16729775244591735,0.1195119693574255,0.10589339363754026,0.09115628499878817,0.12364888085337487,0.14561064164563212,0.08650425321626198,0.05687066508746988,0.031009782734493483,0.124824664569707,0.06442058470072819,0.028207366425115295
C1,no,Insulin,3.691275167785235,0.1438332761079669,0.10318742807467476,0.16496108140921248,0.11243276850010181,0.10368276198918676,0.08791573634987222,0.12171850781560799,0.1435254962875332,0.08332156181342955,0.055172060558024726,0.029332859663476672,0.12189138832146876,0.06241454747465055,0.02462898773381053
C1,no,Insulin,4.026845637583893,0.14193712974590492,0.10090370424497885,0.16346921153445695,0.10750492401141361,0.10224125063819073,0.0854933697320268,0.12047756757820108,0.14217671331169937,0.08123624407918281,0.054091037297568284,0.027962970482577593,0.11929281817800627,0.06066470502009851,0.022061590673495095
C1,no,Insulin,4.3624161073825505,0.14072962878025397,0.09895322757170835,0.16254316132259577,0.10409689189866997,0.10131838189909612,0.08371631880302688,0.11969737308802651,0.14132475572256947,0.07988404060979414,0.0534118372785662,0.02687125410167695,0.11706790079750555,0.05918088699714856,0.020220246760939253
C1,no,Insulin,4.697986577181208,0.1399801435705916,0.09732998953458083,0.161986932739904,0.10175587700414805,0.10073969003667275,0.08243399933239468,0.11921957739687769,0.14080076531173014,0.07901828177737324,0.05299243141766075,0.02601898144064291,0.11521873511723846,0.05795572128082134,0.018901596847155935
C1,no,Insulin,5.033557046979866,0.13952884483389577,0.09601135518302077,0.1616663837630212,0.1001590775976997,0.100385553583526,0.0815223646504789,0.1189362988791195,0.14048857566261058,0.0784724044285751,0.05273925382755099,0.025365227489576612,0.11372125762185263,0.056968178537966874,0.017959494945054236
