Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Network_11_16_10_2018_23_2.sif,11,KM3,BESTFIT,150,7,2,89,13,17,0.13333333333333333,0.10526315789473684,0.7520661157024794,0.3760330578512397,-0.02449587781249002
Network_8_16_10_2018_23_2.sif,8,KM3,BESTFIT,150,1,4,45,5,10,0.4444444444444444,0.2857142857142857,0.765625,0.3828125,0.22084711628963774
Network_5_16_10_2018_23_2.sif,5,KM3,BESTFIT,150,0,1,12,3,9,0.25,0.1,0.52,0.26,-0.1336306209562122
Network_4_16_10_2018_23_2.sif,4,KM3,BESTFIT,150,1,0,5,3,8,0.0,0.0,0.3125,0.15625,-0.48038446141526137
Network_13_16_10_2018_23_2.sif,13,KM3,BESTFIT,150,7,0,129,16,24,0.0,0.0,0.7633136094674556,0.3816568047337278,-0.13156364453199926
Network_9_16_10_2018_23_2.sif,9,KM3,BESTFIT,150,6,4,56,8,13,0.3333333333333333,0.23529411764705882,0.7407407407407407,0.37037037037037035,0.1264304343560434
Network_6_16_10_2018_23_2.sif,6,KM3,BESTFIT,150,3,2,21,6,7,0.25,0.2222222222222222,0.6388888888888888,0.3194444444444444,0.0
Network_10_16_10_2018_23_2.sif,10,KM3,BESTFIT,150,3,1,78,5,16,0.16666666666666666,0.058823529411764705,0.79,0.395,-0.0022419552349187003
Network_14_16_10_2018_23_2.sif,14,KM3,BESTFIT,150,8,2,155,16,23,0.1111111111111111,0.08,0.8010204081632653,0.4005102040816326,-0.015671612343875697
Network_12_16_10_2018_23_2.sif,12,KM3,BESTFIT,150,5,1,111,10,22,0.09090909090909091,0.043478260869565216,0.7777777777777778,0.3888888888888889,-0.054019148196332696
Network_7_16_10_2018_23_2.sif,7,KM3,BESTFIT,150,1,3,33,4,9,0.42857142857142855,0.25,0.7346938775510204,0.3673469387755102,0.17437145811572893

Mean_Nodes,9.0
Mean_Runtime,3.8181818181818183
Mean_BACC,0.34530120083143767
Mean_MCC,-0.02912348288451635
Mean_ACC,0.6906024016628753
Mean_Precision,0.20076085530630985
Mean_Recall,0.12552687034178486
