,,,Slide ID,d,b,c,a
,,,Antibody Name,d,b,c,a
,,,HUGO ID,d,b,c,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7777927576017886,0.35211483042153,0.8630358062217126,0.18049323780344118
C1,no,Insulin,0.5050505050505051,0.5727789024168528,0.3392036027197614,0.5256501366897591,0.23783938277506417
C1,no,Insulin,1.0101010101010102,0.445889723118315,0.31699780404213235,0.3571450011174133,0.25385873154472366
C1,no,Insulin,1.5151515151515151,0.36567146430638503,0.2939163145867561,0.2698679428930255,0.2529523938911574
C1,no,Insulin,2.0202020202020203,0.31395097531005756,0.27348839078661796,0.22264373867829768,0.24618086698980648
C1,no,Insulin,2.5252525252525255,0.28002975955072335,0.2568046119670657,0.1958541530058777,0.23833353523546444
C1,no,Insulin,3.0303030303030303,0.2574676179951951,0.24381874648524415,0.1799400952324951,0.2312790062997561
C1,no,Insulin,3.5353535353535355,0.24229406910714568,0.23402657171149546,0.17009393339876283,0.22556750499395306
C1,no,Insulin,4.040404040404041,0.232003480071999,0.22680387745643216,0.16379780734737806,0.22119462989494892
C1,no,Insulin,4.545454545454546,0.22498095671286236,0.22156042720732103,0.15967009629918635,0.21795743546297483
C1,no,Insulin,5.050505050505051,0.22016694103674903,0.21779802396218123,0.15691509915741117,0.21561224178242747
C1,no,Insulin,5.555555555555556,0.21685618629113834,0.2151216672836816,0.1550533676392385,0.2139375533032195
C1,no,Insulin,6.0606060606060606,0.21457404129507768,0.21323019549097613,0.1537846863675441,0.21275329746899552
C1,no,Insulin,6.565656565656566,0.21299838520657774,0.21189994521792727,0.15291529803502643,0.2119214319722245
C1,no,Insulin,7.070707070707071,0.21190927571986407,0.21096783133720387,0.1523173268862904,0.2113397670995864
C1,no,Insulin,7.575757575757576,0.21115587343065886,0.21031650251736336,0.1519050295890966,0.2109343200412872
C1,no,Insulin,8.080808080808081,0.21063441208229627,0.20986232192654958,0.15162029375515704,0.21065229811850347
C1,no,Insulin,8.585858585858587,0.21027335004856093,0.20954611337680754,0.1514234416156523,0.2104564075286414
C1,no,Insulin,9.090909090909092,0.21002328111780658,0.20932622311591892,0.15128724799836862,0.21032047142262583
C1,no,Insulin,9.595959595959597,0.20985005257636863,0.20917344490950562,0.15119297508598528,0.21022619474046278
C1,no,Insulin,10.101010101010102,0.20973003765545797,0.20906736595761824,0.15112769740941528,0.210160836046336
C1,no,Insulin,10.606060606060607,0.2096468844277899,0.20899374920215746,0.15108248763022228,0.21011553603177502
C1,no,Insulin,11.111111111111112,0.20958926606078282,0.20894267921689208,0.15105117021025743,0.21008414326865768
C1,no,Insulin,11.616161616161618,0.20954933772295142,0.20890725853739556,0.15102947286007226,0.21006238915476574
C1,no,Insulin,12.121212121212121,0.20952166932264474,0.20888269675988982,0.1510144401393562,0.21004731321052988
C1,no,Insulin,12.626262626262626,0.20950249535186144,0.20886566875761678,0.15100402398943147,0.21003686829639
C1,no,Insulin,13.131313131313131,0.20948920877386984,0.2088538643937172,0.15099680688658118,0.21002962994204666
C1,no,Insulin,13.636363636363637,0.20948000094719652,0.20884568176064025,0.15099180538727047,0.2100246134536935
C1,no,Insulin,14.141414141414142,0.20947361920182955,0.2088400105269636,0.15098833960464575,0.210021139494385
C1,no,Insulin,14.646464646464647,0.20946919714377754,0.20883607914031999,0.15098593809934088,0.21001873035199695
C1,no,Insulin,15.151515151515152,0.20946613248718648,0.208833354469255,0.15098427329662137,0.21001706014511515
C1,no,Insulin,15.656565656565657,0.20946400870233342,0.20883146712260123,0.15098312046462464,0.21001590616536644
C1,no,Insulin,16.161616161616163,0.20946253696483502,0.2088301580778933,0.15098232129195743,0.21001510385702496
C1,no,Insulin,16.666666666666668,0.2094615169901592,0.2088292511989729,0.15098176707563202,0.2100145479441916
C1,no,Insulin,17.171717171717173,0.20946081021681337,0.20882862277727657,0.15098138345255807,0.21001416343337148
C1,no,Insulin,17.67676767676768,0.2094603204493769,0.20882818720524624,0.15098111733157102,0.2100138963106698
C1,no,Insulin,18.181818181818183,0.20945998117076767,0.2088278855629383,0.15098093313652208,0.2100137117461942
C1,no,Insulin,18.68686868686869,0.20945974582570553,0.20882767629025648,0.15098080534391695,0.21001358360230493
C1,no,Insulin,19.191919191919194,0.20945958222380603,0.2088275308177165,0.15098071650960232,0.21001349454140805
C1,no,Insulin,19.6969696969697,0.20945946896700843,0.20882743010899976,0.1509806550126644,0.21001343288179608
