,,,Slide ID,a,e,b,c,d
,,,Antibody Name,a,e,b,c,d
,,,HUGO ID,a,e,b,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5739241212347373,0.9838268784754786,0.6255664641099331,0.5059322324024508,0.21551440900253915
C1,no,Insulin,0.5050505050505051,0.4351133663276606,0.5929868836729859,0.27780988811679075,0.4115877943966643,0.16855346272371757
C1,no,Insulin,1.0101010101010102,0.35258471040385614,0.3612278886299922,0.14947628070201374,0.3498152144409772,0.13044715142211702
C1,no,Insulin,1.5151515151515151,0.3022487376574617,0.22301243593268155,0.09522159321897466,0.3086437719600054,0.10039743959697485
C1,no,Insulin,2.0202020202020203,0.27088919512471493,0.14000056592990404,0.0677619422596632,0.2809532173273123,0.077159135316804
C1,no,Insulin,2.5252525252525255,0.25102647352918883,0.08970328846050521,0.051268878541908994,0.26226931530153585,0.059419269052299335
C1,no,Insulin,3.0303030303030303,0.2382906658245699,0.05889613714889934,0.040118387597761866,0.2496650654338733,0.04598912421615744
C1,no,Insulin,3.5353535353535355,0.23005280495775435,0.03978005780143295,0.03207900541299006,0.24117877517033906,0.035874331634549374
C1,no,Insulin,4.040404040404041,0.22469177394273349,0.027738150762299102,0.026105607211979492,0.23548034665683562,0.02827988814101674
C1,no,Insulin,4.545454545454546,0.2211883591788278,0.02002325169024457,0.02160980309860141,0.23166471723208795,0.022587103170495313
C1,no,Insulin,5.050505050505051,0.218892436407111,0.014989552015375735,0.01820843566376707,0.22911660061846728,0.01832239578938076
C1,no,Insulin,5.555555555555556,0.21738498971421427,0.011642395003490279,0.015629628066236616,0.22741897878303313,0.015127033081912678
C1,no,Insulin,6.0606060606060606,0.2163939904360117,0.009374091352820343,0.013672415203272378,0.22629028346029628,0.012731125823379562
C1,no,Insulin,6.565656565656566,0.21574196445388746,0.007808558011332989,0.012185806941745512,0.2255411365965014,0.010932548015961113
C1,no,Insulin,7.070707070707071,0.2153127275282798,0.006709512941403271,0.01105573519385984,0.22504460999626463,0.009580366234834796
C1,no,Insulin,7.575757575757576,0.21503005231576977,0.005926026752978428,0.010195933584569758,0.22471589760207167,0.008562062928690007
C1,no,Insulin,8.080808080808081,0.21484385018104404,0.0053599391948752715,0.009541156739752215,0.22449848488280016,0.007793816296231709
C1,no,Insulin,8.585858585858587,0.21472117589440154,0.00494620599674029,0.009042061486194675,0.22435479369108227,0.007213168690655808
C1,no,Insulin,9.090909090909092,0.2146403476174797,0.004640911631619809,0.00866130976855308,0.2242598840702793,0.006773538048766129
C1,no,Insulin,9.595959595959597,0.21458708706992213,0.0044138549401678395,0.008370628483310714,0.22419722492762617,0.006440128795538993
C1,no,Insulin,10.101010101010102,0.2145519910651263,0.0042439094762730485,0.008148562753079451,0.22415587406009405,0.006186894634910674
C1,no,Insulin,10.606060606060607,0.21452886391540688,0.0041160630590717315,0.007978832696641982,0.2241285935381809,0.005994298887903014
C1,no,Insulin,11.111111111111112,0.21451362285230616,0.004019498445593832,0.007849041839293065,0.2241105991171794,0.005847646718350566
C1,no,Insulin,11.616161616161618,0.21450357954402127,0.0039463328755996365,0.00774975868959241,0.22409873307433537,0.00573586585864731
