,,,Slide ID,d,f,b,a,c,e
,,,Antibody Name,d,f,b,a,c,e
,,,HUGO ID,d,f,b,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.1749636902745303,0.9011029258014045,0.19936011179396584,0.22964254901840275,0.14005346933665241,0.585274754232575
C1,no,Insulin,0.5050505050505051,0.24272801996467244,0.24401406556837832,0.09111262284252361,0.21876959797911985,0.14898316029490996,0.29372041263421916
C1,no,Insulin,1.0101010101010102,0.19388064208626207,0.08508944716444475,0.06267505950687238,0.1763341638509215,0.15288514637750453,0.1601461654445727
C1,no,Insulin,1.5151515151515151,0.14429335913721286,0.044147776445971995,0.05251261184139781,0.13458969550083236,0.1488777455805716,0.09707214668861323
C1,no,Insulin,2.0202020202020203,0.11523026298724524,0.03137743787383211,0.04657874317302737,0.10410768513885385,0.14114175826028819,0.06581457050521508
C1,no,Insulin,2.5252525252525255,0.10030270830900186,0.025895551280002517,0.04216618197456162,0.08414263339427391,0.13324079050532223,0.04940663216545772
C1,no,Insulin,3.0303030303030303,0.09222940996925262,0.022801858408316195,0.03882102014881261,0.07143159919442034,0.12667809430900953,0.04028806799283341
C1,no,Insulin,3.5353535353535355,0.08733230641251298,0.020810267316476432,0.036361884157041606,0.06330612577966085,0.12166187288761712,0.03495551012065941
C1,no,Insulin,4.040404040404041,0.08408730193799693,0.01946867789101376,0.034599928631588825,0.058038355321824636,0.11794968762952386,0.03169985243459498
C1,no,Insulin,4.545454545454546,0.08184302479184079,0.01855150984543122,0.033355632671198496,0.0545715461236274,0.11523601672029771,0.029641443501297184
C1,no,Insulin,5.050505050505051,0.0802681825984317,0.01792058468333488,0.032482814387100704,0.052260046420829744,0.11326333632326553,0.028303732245929608
C1,no,Insulin,5.555555555555556,0.07916010272934355,0.017484860495553076,0.031872158913446996,0.05070253563752282,0.11183500576253037,0.027415992165404614
C1,no,Insulin,6.0606060606060606,0.07838116247144214,0.017183018349725698,0.03144521409365245,0.049644331884018365,0.11080475528428858,0.026817648412250025
C1,no,Insulin,6.565656565656566,0.07783441817085744,0.016973399456859592,0.03114668954895082,0.048920690833552286,0.11006447529602709,0.0264097878578553
C1,no,Insulin,7.070707070707071,0.07745110762935684,0.016827528843325865,0.0309378793576275,0.04842330709728949,0.10953449893775553,0.02612950938789688
C1,no,Insulin,7.575757575757576,0.0771825835038897,0.016725862418011463,0.030791773347065683,0.04808007935231347,0.10915636314492042,0.02593580496327743
