,,,Slide ID,d,c,a,b,e
,,,Antibody Name,d,c,a,b,e
,,,HUGO ID,d,c,a,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.04253754809507715,0.0013621383238919815,0.881845116138309,0.22558280643117257,0.47134892666101624
C1,no,Insulin,0.5050505050505051,0.12097777588903728,0.12237280848092198,0.5078266607498334,0.1966394546534026,0.29293405889110824
C1,no,Insulin,1.0101010101010102,0.16471123341535726,0.1508761079346707,0.3495755718047236,0.18705324945238108,0.2154818691764903
C1,no,Insulin,1.5151515151515151,0.18487872316785206,0.15876582833303687,0.28363593156537276,0.184752127654339,0.18264495948263976
C1,no,Insulin,2.0202020202020203,0.1936528001289558,0.16166078688619095,0.2566086811705252,0.18481461572429267,0.16911488432301122
C1,no,Insulin,2.5252525252525255,0.19738780912079545,0.16301780097927915,0.24572072900430125,0.18540114265743543,0.1637260241689078
C1,no,Insulin,3.0303030303030303,0.19896393771039228,0.16372846196462992,0.2414192315082503,0.18593667264473526,0.1616723025691685
C1,no,Insulin,3.5353535353535355,0.19962665920211886,0.16410932765416453,0.23976000924941626,0.18630633204513672,0.1609386772957336
C1,no,Insulin,4.040404040404041,0.19990490155765922,0.16431148731486073,0.23913986620699573,0.1865326152878623,0.1607042018259085
C1,no,Insulin,4.545454545454546,0.2000216474385952,0.16441687549275408,0.23891823691371689,0.18666200367392916,0.1606459143158181
C1,no,Insulin,5.050505050505051,0.2000706203643065,0.16447080916794696,0.2388443791650522,0.1867327558441602,0.16064267613876887
C1,no,Insulin,5.555555555555556,0.20009116114683104,0.16449794686259053,0.23882271217842246,0.18677022293797013,0.1606522756546006
C1,no,Insulin,6.0606060606060606,0.20009977664211295,0.16451139673237494,0.23881808955211925,0.18678958216016858,0.16066185125177926
C1,no,Insulin,6.565656565656566,0.20010339017338835,0.1645179727067654,0.23881826179708338,0.18679938890761427,0.16066863233016995
C1,no,Insulin,7.070707070707071,0.20010490524195634,0.1645211480964487,0.23881931991440056,0.18680427463835794,0.16067283512723335
C1,no,Insulin,7.575757575757576,0.20010554007344625,0.16452266263412313,0.2388202164719085,0.18680667206509588,0.16067525525632756
C1,no,Insulin,8.080808080808081,0.2001058084715834,0.16452338121167123,0.2388207972294536,0.18680783944677765,0.16067658871698998
C1,no,Insulin,8.585858585858587,0.20010591974311553,0.16452371419086695,0.2388211323251983,0.18680839457460968,0.1606772946550351
C1,no,Insulin,9.090909090909092,0.20010596581757698,0.16452386779661762,0.23882131513880445,0.18680865742608868,0.16067766225502544
C1,no,Insulin,9.595959595959597,0.2001059849459016,0.16452393727204573,0.23882140842244562,0.1868087793732608,0.16067784748490258
C1,no,Insulin,10.101010101010102,0.20010599267074444,0.16452396760058585,0.23882145360121929,0.18680883410536417,0.1606779376598986
C1,no,Insulin,10.606060606060607,0.2001059962950635,0.16452398179209898,0.23882147528732264,0.18680886010447328,0.16067798228156902
C1,no,Insulin,11.111111111111112,0.20010599806323665,0.16452398844956603,0.23882148542534667,0.18680887244024588,0.1606780040723888
C1,no,Insulin,11.616161616161618,0.20010599885613137,0.16452399152922564,0.23882149035853925,0.18680887826087073,0.1606780148479269
C1,no,Insulin,12.121212121212121,0.20010599921771344,0.16452399302615275,0.23882149289252047,0.1868088811347273,0.1606780203590073
C1,no,Insulin,12.626262626262626,0.20010599940478707,0.16452399376973034,0.23882149413601744,0.18680888257050277,0.16067802315765467
C1,no,Insulin,13.131313131313131,0.20010599949405986,0.16452399410913635,0.23882149471073605,0.18680888323911363,0.16067802452364038
C1,no,Insulin,13.636363636363637,0.20010599953212077,0.16452399425978123,0.23882149498518798,0.186808883546457,0.16067802519104354
C1,no,Insulin,14.141414141414142,0.20010599956169858,0.16452399437863238,0.2388214952053235,0.18680888379035032,0.16067802572751314
C1,no,Insulin,14.646464646464647,0.20010599958482486,0.16452399447104774,0.23882149537651715,0.18680888398019527,0.16067802614750898
C1,no,Insulin,15.151515151515152,0.20010599959600714,0.1645239945149683,0.2388214954598518,0.1868088840725569,0.16067802635972794
C1,no,Insulin,15.656565656565657,0.2001059995952454,0.16452399451039404,0.23882149545532746,0.1868088840674353,0.16067802636416997
C1,no,Insulin,16.161616161616163,0.20010599958449085,0.16452399446528848,0.23882149537720235,0.18680888398067644,0.1606780261940015
C1,no,Insulin,16.666666666666668,0.20010599958669995,0.16452399447334287,0.23882149539322592,0.18680888399871104,0.16067802623942928
C1,no,Insulin,17.171717171717173,0.20010599958626527,0.16452399447085914,0.23882149538935,0.18680888399479,0.16067802623516256
C1,no,Insulin,17.67676767676768,0.20010599958318676,0.16452399445783725,0.23882149536557454,0.1868088839689134,0.1606780261812013
C1,no,Insulin,18.181818181818183,0.20010599957746444,0.1645239944342772,0.23882149532189959,0.18680888392108116,0.16067802607754553
C1,no,Insulin,18.68686868686869,0.20010599957151978,0.16452399440883608,0.23882149527663987,0.18680888387163805,0.16067802597887335
C1,no,Insulin,19.191919191919194,0.20010599957006978,0.1645239944032622,0.23882149526503638,0.18680888385905864,0.1606780259467087
