,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7890004089597182,0.2550441445890669,0.5306851329742288,0.4565237965873985
C1,no,Insulin,0.5050505050505051,0.9361798820561563,0.6312447413217115,0.4341280922717011,0.24708503208346652
C1,no,Insulin,1.0101010101010102,0.9806966119155884,0.7365819873697528,0.3806250429466238,0.1956646900780097
C1,no,Insulin,1.5151515151515151,0.9941613888315298,0.7693712266738341,0.35243615889075186,0.18319463344543765
C1,no,Insulin,2.0202020202020203,0.9982340217837443,0.7811249202335744,0.3375846274031065,0.18044333668423784
C1,no,Insulin,2.5252525252525255,0.999465852965283,0.7859919462292994,0.3297317364008705,0.18000488603740228
C1,no,Insulin,3.0303030303030303,0.9998384382169195,0.7882454340795871,0.3255698014803134,0.18004356210894903
C1,no,Insulin,3.5353535353535355,0.999951131700402,0.7893632682347874,0.32336134525810983,0.1801363520920846
C1,no,Insulin,4.040404040404041,0.9999852189860112,0.7899383916476703,0.3221887701364206,0.18020486302955
C1,no,Insulin,4.545454545454546,0.9999955293005461,0.7902395670492166,0.3215660234856651,0.1802463624111243
C1,no,Insulin,5.050505050505051,0.9999986478329255,0.7903985692394118,0.3212352480037288,0.1802697580229732
C1,no,Insulin,5.555555555555556,0.9999995917495446,0.7904828146507612,0.3210595494193226,0.18028253991975066
C1,no,Insulin,6.0606060606060606,0.9999998769787442,0.7905275200256944,0.3209662196077213,0.1802894226708875
C1,no,Insulin,6.565656565656566,0.9999999627451694,0.7905512570760652,0.3209166461562541,0.18029310263617165
C1,no,Insulin,7.070707070707071,0.9999999894708804,0.7905638669718195,0.3208903103566337,0.1802950626689215
C1,no,Insulin,7.575757575757576,0.9999999966078975,0.7905705632106356,0.32087632218248224,0.18029610637647228
C1,no,Insulin,8.080808080808081,0.9999999994124947,0.7905741218578253,0.32086889201641217,0.18029665981392545
C1,no,Insulin,8.585858585858587,0.9999999988738776,0.7905760088754546,0.32086494411784466,0.18029695662680856
C1,no,Insulin,9.090909090909092,0.9999999999943586,0.7905770148131613,0.32086284871316245,0.18029711118685368
C1,no,Insulin,9.595959595959597,0.9999999996191093,0.7905775465523326,0.32086173621131225,0.180297194908714
C1,no,Insulin,10.101010101010102,0.9999999998950899,0.7905778300781184,0.3208611451998063,0.18029723859056915
C1,no,Insulin,10.606060606060607,0.9999999999579273,0.7905779809493195,0.32086083030006146,0.18029726200399088
C1,no,Insulin,11.111111111111112,0.9999999999918795,0.7905780612125809,0.3208606629924317,0.1802972743995586
C1,no,Insulin,11.616161616161618,0.9999999999938355,0.7905781036984023,0.3208605741440934,0.18029728105035095
C1,no,Insulin,12.121212121212121,0.9999999999926069,0.7905781253679265,0.3208605287760845,0.18029728445717239
C1,no,Insulin,12.626262626262626,0.9999999999960543,0.7905781370321663,0.320860504501431,0.18029728624923994
C1,no,Insulin,13.131313131313131,1.000000000000448,0.7905781435788114,0.3208604909952332,0.1802972872229116
C1,no,Insulin,13.636363636363637,1.0000000000014186,0.7905781471556818,0.32086048357926894,0.18029728776608353
C1,no,Insulin,14.141414141414142,0.9999999999998773,0.7905781490319902,0.32086047957797825,0.18029728808112871
C1,no,Insulin,14.646464646464647,0.9999999999989342,0.7905781500252287,0.32086047741483825,0.18029728825897456
C1,no,Insulin,15.151515151515152,0.99999999999952,0.7905781505926637,0.32086047623729863,0.18029728834460362
C1,no,Insulin,15.656565656565657,1.0000000000003482,0.7905781509338353,0.3208604755965554,0.18029728837896586
C1,no,Insulin,16.161616161616163,1.0000000000012923,0.7905781512431294,0.32086047500285403,0.18029728841292766
C1,no,Insulin,16.666666666666668,1.0000000000019897,0.7905781514808624,0.320860474535752,0.18029728844169957
C1,no,Insulin,17.171717171717173,1.0000000000022158,0.7905781516144788,0.3208604742647387,0.18029728846020954
C1,no,Insulin,17.67676767676768,1.0000000000019698,0.7905781516439785,0.320860474189814,0.18029728846845755
C1,no,Insulin,18.181818181818183,1.000000000001252,0.7905781515693616,0.3208604743109779,0.18029728846644363
C1,no,Insulin,18.68686868686869,1.0000000000008986,0.7905781515467604,0.3208604743409513,0.18029728846769477
C1,no,Insulin,19.191919191919194,1.000000000000823,0.7905781515600553,0.32086047430939363,0.1802972884708144
C1,no,Insulin,19.6969696969697,1.0000000000007008,0.7905781515486824,0.32086047432774073,0.18029728847055537
C1,no,Insulin,20.202020202020204,1.0000000000005322,0.7905781515126418,0.3208604743959926,0.18029728846691773
C1,no,Insulin,20.70707070707071,1.0000000000003175,0.7905781514519336,0.3208604745141491,0.18029728845990142
C1,no,Insulin,21.212121212121215,0.9999999999999736,0.7905781514056613,0.32086047459580697,0.18029728845689258
C1,no,Insulin,21.71717171717172,0.9999999999999785,0.79057815138708,0.32086047463530293,0.18029728845381865
C1,no,Insulin,22.222222222222225,0.9999999999999835,0.7905781513684985,0.32086047467479895,0.18029728845074475
