,,,Slide ID,b,e,f,g,d,a,c
,,,Antibody Name,b,e,f,g,d,a,c
,,,HUGO ID,b,e,f,g,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.11509960267584085,0.771248902308732,0.5464449896399651,0.7040735310292462,0.3203394126237855,0.6553779285143907,0.40482052778903355
C1,no,Insulin,0.5050505050505051,0.23715807368755246,0.33987780133587725,0.4455711569849731,0.4698081881855816,0.31749270383999567,0.6814744611297753,0.2643400453611348
C1,no,Insulin,1.0101010101010102,0.2752305542997004,0.22697746834588298,0.41744315537331,0.39312896918082096,0.30373629126121504,0.6973963614709876,0.21381805755895172
C1,no,Insulin,1.5151515151515151,0.2872860760264318,0.19813337094279196,0.4102964542543296,0.36847296595242884,0.2909794584975455,0.7052013029483422,0.19378927285586192
C1,no,Insulin,2.0202020202020203,0.2912564312985117,0.19121938567451474,0.4087777253148423,0.360700625172821,0.28186321532015896,0.7086050954253403,0.18480465279657943
C1,no,Insulin,2.5252525252525255,0.2926375286358155,0.1898405356728535,0.4085928948901706,0.3583048123316803,0.27596781063730413,0.709984282821129,0.18028625359390632
C1,no,Insulin,3.0303030303030303,0.29314707854850963,0.1897453162549129,0.40864677789711124,0.357585212127193,0.27232475922080185,0.7105145249314236,0.17782367298859347
C1,no,Insulin,3.5353535353535355,0.29334497820628824,0.18987825009190615,0.40870489506986635,0.35737568476143,0.2701226523720082,0.7107100729458955,0.1764185166815894
C1,no,Insulin,4.040404040404041,0.29342469321707726,0.19000552295828352,0.4087377817849591,0.35731700279632617,0.2688059952221345,0.7107796457950556,0.17559843189703497
C1,no,Insulin,4.545454545454546,0.29345746715089827,0.19009281795897762,0.40875313974983507,0.3573013969325452,0.26802297175858236,0.7108035872919529,0.1751150567010912
C1,no,Insulin,5.050505050505051,0.2934710435918661,0.19014720875377666,0.40875963593398756,0.3572975478044679,0.2675585000169254,0.7108115585037342,0.1748290500131393
C1,no,Insulin,5.555555555555556,0.29347665824777835,0.19017992425554334,0.4087622130954393,0.35729671396725904,0.26728331970151215,0.7108141190968139,0.17465962285525338
