Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
BT549_mainHGF.sif,45,KM3,BESTFIT,87,3,131,85,4,1805,0.9703703703703703,0.06766528925619834,0.10666666666666667,0.05333333333333334,0.01867180487549106
MCF7_mainPBS.sif,41,KM3,BESTFIT,105,5,117,154,6,1404,0.9512195121951219,0.07692307692307693,0.16121356335514575,0.08060678167757288,0.04442616583193193
MCF7_mainSerum.sif,41,KM3,BESTFIT,104,8,111,151,9,1410,0.925,0.07297830374753451,0.15585960737656157,0.07792980368828079,0.019067090568608284
UACC812_mainHGF.sif,45,KM3,BESTFIT,107,3,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
BT549_mainFGF1.sif,45,KM3,BESTFIT,87,2,130,84,5,1806,0.9629629629629629,0.06714876033057851,0.10567901234567902,0.05283950617283951,0.009013974767478443
UACC812_mainEGF.sif,45,KM3,BESTFIT,109,1,0,89,134,1936,0.0,0.0,0.041222788327929596,0.020611394163964798,-0.757949254912359
BT549_mainEGF.sif,45,KM3,BESTFIT,85,1,129,85,4,1807,0.9699248120300752,0.06663223140495868,0.10567901234567902,0.05283950617283951,0.01794688299885177
BT20_mainInsulin.sif,48,KM3,BESTFIT,81,9,134,179,9,1982,0.9370629370629371,0.06332703213610585,0.13585069444444445,0.06792534722222222,0.017534835676094374
MCF7_mainHGF.sif,41,KM3,BESTFIT,103,3,111,149,11,1410,0.9098360655737705,0.07297830374753451,0.15466983938132065,0.07733491969066032,0.0047828614838192314
BT20_mainPBS.sif,48,KM3,BESTFIT,77,5,133,177,11,1983,0.9236111111111112,0.06285444234404537,0.1345486111111111,0.06727430555555555,0.00491245811187854
BT20_mainHGF.sif,48,KM3,BESTFIT,82,3,131,175,13,1985,0.9097222222222222,0.06190926275992439,0.1328125,0.06640625,-0.008187430186464232
MCF7_mainInsulin.sif,41,KM3,BESTFIT,105,9,114,151,9,1407,0.926829268292683,0.07495069033530571,0.15764425936942297,0.07882212968471149,0.02107395045873694
BT20_mainEGF.sif,48,KM3,BESTFIT,83,1,136,180,8,1980,0.9444444444444444,0.06427221172022685,0.1371527777777778,0.0685763888888889,0.0245622905593927
BT549_mainPBS.sif,45,KM3,BESTFIT,87,5,128,82,7,1808,0.9481481481481482,0.06611570247933884,0.1037037037037037,0.05185185185185185,-0.010301685448546791
BT549_mainNRG1.sif,45,KM3,BESTFIT,87,3,129,83,6,1807,0.9555555555555556,0.06663223140495868,0.10469135802469136,0.05234567901234568,-0.0006438553405341745
MCF7_mainIGF1.sif,41,KM3,BESTFIT,105,7,110,147,13,1411,0.8943089430894309,0.07232084155161078,0.15288518738845924,0.07644259369422962,-0.010062336705523043
UACC812_mainPBS.sif,45,KM3,BESTFIT,107,5,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
BT549_mainSerum.sif,45,KM3,BESTFIT,87,8,131,85,4,1805,0.9703703703703703,0.06766528925619834,0.10666666666666667,0.05333333333333334,0.01867180487549106
UACC812_mainNRG1.sif,45,KM3,BESTFIT,108,3,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
BT20_mainSerum.sif,48,KM3,BESTFIT,83,8,131,179,9,1985,0.9357142857142857,0.06190926275992439,0.1345486111111111,0.06727430555555555,0.016084812667805072
UACC812_mainIGF1.sif,45,KM3,BESTFIT,109,7,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
MCF7_mainFGF1.sif,41,KM3,BESTFIT,105,2,112,149,11,1409,0.9105691056910569,0.07363576594345825,0.1552647233789411,0.07763236168947055,0.005505806876606948
UACC812_mainFGF1.sif,45,KM3,BESTFIT,108,2,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
UACC812_mainInsulin.sif,45,KM3,BESTFIT,108,9,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
BT20_mainFGF1.sif,48,KM3,BESTFIT,82,2,133,177,11,1983,0.9236111111111112,0.06285444234404537,0.1345486111111111,0.06727430555555555,0.00491245811187854
MCF7_mainNRG1.sif,41,KM3,BESTFIT,105,3,113,151,9,1408,0.9262295081967213,0.07429322813938198,0.1570493753718025,0.07852468768590125,0.020409664504810732
BT549_mainInsulin.sif,45,KM3,BESTFIT,86,9,130,84,5,1806,0.9629629629629629,0.06714876033057851,0.10567901234567902,0.05283950617283951,0.009013974767478443
BT20_mainNRG1.sif,48,KM3,BESTFIT,77,3,133,177,11,1983,0.9236111111111112,0.06285444234404537,0.1345486111111111,0.06727430555555555,0.00491245811187854
BT549_mainIGF1.sif,45,KM3,BESTFIT,87,7,129,83,6,1807,0.9555555555555556,0.06663223140495868,0.10469135802469136,0.05234567901234568,-0.0006438553405341745
UACC812_mainSerum.sif,45,KM3,BESTFIT,109,8,0,89,135,1936,0.0,0.0,0.0412037037037037,0.02060185185185185,-0.7590721152765897
BT20_mainIGF1.sif,48,KM3,BESTFIT,82,7,136,180,8,1980,0.9444444444444444,0.06427221172022685,0.1371527777777778,0.0685763888888889,0.0245622905593927
MCF7_mainEGF.sif,41,KM3,BESTFIT,105,1,113,151,9,1408,0.9262295081967213,0.07429322813938198,0.1570493753718025,0.07852468768590125,0.020409664504810732

Mean_Nodes,44.75
Mean_Timepoints,95.0625
Mean_Runtime,4.75
Mean_BACC,0.05477975984086269
Mean_MCC,-0.18108806170492667
Mean_ACC,0.10955951968172538
Mean_Precision,0.7033841973879116
Mean_Recall,0.05100835132886243
