NON A B C D E F G H							
#NON	BUD	CDH1	CLN2	MASS	SIC1T	CLB5T	ORI	SBF
0	0.008473	0.930499	0.0652511	1.20602	0.368685	0.128912	0.000909	0.00491374
2	0.0196683	0.999606	0.0638483	1.22474	0.572642	0.113659	0.0988715	0.0781894
4	0.0260895	0.999517	0.0960186	1.24375	0.761987	0.10555	0.0914454	0.262969
6	0.0445619	0.998515	0.35138	1.26306	0.918037	0.109583	0.0830008	0.969625
8	0.0868919	0.996349	0.609109	1.28266	1.03236	0.117816	0.0751755	0.985124
10	0.14642	0.991242	0.819775	1.30257	1.10098	0.127551	0.0681856	0.989525
12	0.217179	0.979507	0.991815	1.32279	1.12191	0.138248	0.0621107	0.991581
14	0.294658	0.959425	1.13308	1.34332	1.10079	0.149567	0.0569661	0.992761
16	0.37553	0.932297	1.25002	1.36418	1.0481	0.161285	0.0527575	0.993524
18	0.457393	0.899887	1.34781	1.38535	0.972745	0.173253	0.0495311	0.994057
20	0.538563	0.863481	1.43056	1.40686	0.881118	0.185377	0.0474156	0.994451
22	0.617907	0.823836	1.50153	1.42869	0.778026	0.197598	0.0466956	0.994755
24	0.694737	0.781276	1.56331	1.45087	0.667449	0.20988	0.0479822	0.994999
26	0.768751	0.735663	1.61792	1.47339	0.553081	0.222202	0.0526804	0.995201
28	0.84013	0.685901	1.66697	1.49626	0.43877	0.234553	0.0645553	0.995376
30	0.910248	0.62751	1.71175	1.51949	0.328929	0.246927	0.0966753	0.995542
32	0.985437	0.540527	1.75327	1.54308	0.228716	0.259323	0.20578	0.995751
34	1.07977	0.3806	1.79234	1.56703	0.144447	0.271741	0.517526	0.996002
36	1.19514	0.149092	1.82957	1.59135	0.0854507	0.284192	1.04771	0.996183
38	1.32135	0.00681198	1.86544	1.61605	0.0548652	0.296907	1.70323	0.996255
40	1.44895	0.00509595	1.90027	1.64114	0.0425093	0.309659	2.39859	0.996215
42	1.57331	0.00459649	1.93435	1.66661	0.0377034	0.322444	3.09223	0.996076
44	1.69307	0.00429274	1.9679	1.69248	0.0354189	0.335265	3.77084	0.995895
46	1.80807	0.00406647	2.00114	1.71875	0.0340275	0.348123	4.43087	0.995719
48	1.91857	0.0038769	2.03424	1.74543	0.0330522	0.361022	5.07191	0.995545
50	2.02496	0.00370862	2.06734	1.77253	0.0323352	0.373965	5.69524	0.995355
52	2.12763	0.00355539	2.10052	1.80004	0.031814	0.386954	6.30294	0.995132
54	2.22698	0.00341431	2.13387	1.82798	0.0314625	0.399992	6.89744	0.994864
56	2.32337	0.00328369	2.16744	1.85636	0.0312731	0.413079	7.4813	0.994535
58	2.41713	0.00316225	2.20124	1.88517	0.0312528	0.426216	8.05724	0.994119
60	2.50857	0.00304882	2.23529	1.91444	0.0314263	0.4394	8.62824	0.993575
62	2.59795	0.0029422	2.26957	1.94415	0.0318491	0.452629	9.19784	0.992827
64	2.68546	0.00284097	2.30398	1.97433	0.0326442	0.465889	9.7708	0.991697
66	2.77125	0.00274272	2.33829	2.00498	0.0341429	0.479154	10.3551	0.989617
68	2.85526	0.002636	2.37129	2.0361	0.0379221	0.492308	10.974	0.9818
70	2.93621	0.00251388	2.38222	2.06771	0.0493752	0.504312	11.7099	0.801139
72	2.98838	0.00255338	1.94394	2.0998	0.0649087	0.499154	12.5775	0.0202234
74	2.98864	0.00259857	1.5364	2.1324	0.0796136	0.491267	13.5361	0.00870647
76	2.95123	0.00261374	1.21237	2.1655	0.0912355	0.483199	14.5868	0.00518972
78	2.88821	0.00260158	0.956154	2.19911	0.0992425	0.47509	15.7359	0.00353638
80	2.80863	0.00256851	0.753918	2.23324	0.103891	0.466985	16.9885	0.002605
82	2.71917	0.00252144	0.594423	2.26791	0.105793	0.458886	18.3457	0.00202445
84	2.62461	0.0024662	0.468693	2.30311	0.105647	0.450773	19.805	0.00163782
86	2.52596	0.00367474	0.369621	2.33886	0.104984	0.425087	21.3052	0.0014145
88	2.41701	0.00604488	0.291606	2.37517	0.108473	0.379536	22.6126	0.00131409
90	2.29593	0.00784617	0.230209	2.41204	0.114523	0.32908	23.5868	0.00127226
92	2.16505	0.0109402	0.181909	2.44948	0.122247	0.280951	24.2029	0.00126514
94	2.02796	0.0182714	0.143934	2.4875	0.133083	0.238189	24.4828	0.0012872
96	1.8882	0.043838	0.114103	2.52611	0.151291	0.20171	24.4524	0.00135403
98	1.74839	0.154662	0.0907354	2.56532	0.186618	0.171435	24.0852	0.00156274
100	1.60931	0.482664	0.0727032	2.60515	0.25546	0.146967	23.197	0.00251555
102	0.0118824	0.982746	0.0593079	1.2133	0.395607	0.127166	0.0525405	0.00862677
104	0.0201319	0.999492	0.0625786	1.23213	0.59852	0.112802	0.0990783	0.087742
106	0.0266779	0.999311	0.106157	1.25126	0.780215	0.105673	0.0911103	0.436071
108	0.0481631	0.997658	0.386255	1.27068	0.926235	0.11109	0.0827215	0.9736
110	0.0931546	0.993778	0.639176	1.29041	1.02623	0.119608	0.0749935	0.986026
112	0.154622	0.984453	0.845687	1.31044	1.07685	0.129541	0.0681487	0.989928
114	0.226754	0.966652	1.0144	1.33078	1.0812	0.140385	0.0622479	0.991814
116	0.305177	0.940501	1.15304	1.35143	1.0486	0.151816	0.0573008	0.992918
118	0.386676	0.907691	1.26794	1.37241	0.988559	0.163622	0.0533335	0.99364
120	0.468938	0.869929	1.36414	1.39372	0.908387	0.175663	0.0504318	0.994148
122	0.55035	0.828428	1.44567	1.41535	0.813661	0.18785	0.0487955	0.994525
124	0.629849	0.783881	1.51572	1.43732	0.70888	0.200129	0.0488532	0.994819
126	0.706819	0.736502	1.5768	1.45963	0.598019	0.212465	0.0515512	0.995055
128	0.78109	0.685829	1.63089	1.48229	0.48498	0.224839	0.0592267	0.995253
130	0.853234	0.629586	1.67958	1.5053	0.37402	0.23724	0.0789636	0.995428
132	0.926363	0.557805	1.72411	1.52866	0.270091	0.249665	0.139403	0.995613
134	1.01175	0.435023	1.76548	1.55239	0.178867	0.262111	0.341627	0.995861
136	1.11913	0.232825	1.80448	1.57649	0.108347	0.27458	0.772302	0.996082
138	1.24209	0.0229169	1.84168	1.60096	0.0661511	0.287206	1.3725	0.996204
140	1.37005	0.00535053	1.87753	1.62581	0.0473243	0.299975	2.04624	0.99621
142	1.49633	0.00470695	1.91236	1.65105	0.0400015	0.312777	2.73331	0.996108
144	1.61842	0.00435439	1.94645	1.67668	0.0368169	0.325611	3.4108	0.995937
146	1.73577	0.00411055	1.98006	1.7027	0.0350342	0.338481	4.07198	0.995758
148	1.84852	0.00391438	2.01338	1.72913	0.0338313	0.351389	4.71519	0.995586
150	1.95699	0.00374347	2.04658	1.75597	0.0329519	0.364338	5.34094	0.995404
152	2.06156	0.00358899	2.07979	1.78323	0.0323005	0.377331	5.95092	0.995195
154	2.16263	0.00344711	2.1131	1.81091	0.0318365	0.39037	6.54732	0.994947
156	2.26058	0.00331583	2.14658	1.83902	0.0315434	0.403457	7.13255	0.994644
158	2.35574	0.00319381	2.18026	1.86757	0.0314209	0.416592	7.70916	0.994265
160	2.44843	0.00307988	2.21417	1.89655	0.0314842	0.429775	8.27992	0.993779
162	2.53892	0.00297292	2.2483	1.92599	0.0317723	0.443003	8.84802	0.993127
164	2.62745	0.00287171	2.28261	1.95589	0.0323715	0.456268	9.41751	0.992185
166	2.71419	0.00277448	2.31693	1.98625	0.0334909	0.469551	9.99451	0.990626
168	2.7992	0.00267626	2.35074	2.01708	0.0358547	0.482796	10.5922	0.986847
170	2.88198	0.0025558	2.37888	2.04839	0.043661	0.495629	11.2657	0.955868
172	2.95288	0.00252208	2.13587	2.08019	0.058263	0.498338	12.0832	0.0391599
174	2.97362	0.00257966	1.69131	2.11248	0.0737525	0.49074	13.0016	0.0116403
176	2.95082	0.00260883	1.3352	2.14527	0.0868248	0.482803	14.0099	0.00631022
178	2.8978	0.0026086	1.05321	2.17857	0.0963754	0.474786	15.1136	0.00410651
180	2.8248	0.00258435	0.830501	2.21239	0.102391	0.466761	16.3188	0.00293918
182	2.73939	0.00254307	0.654811	2.24673	0.105374	0.458745	17.6284	0.00223775
184	2.64708	0.00249118	0.516292	2.2816	0.10601	0.450727	19.0415	0.00178213
186	2.5513	0.00273085	0.407119	2.31702	0.105091	0.436367	20.5428	0.001487
188	2.44801	0.00515528	0.321126	2.35298	0.106475	0.397245	21.957	0.00134497
190	2.33278	0.00687605	0.253434	2.38951	0.111578	0.348127	23.082	0.00128256
192	2.20661	0.00913835	0.200173	2.4266	0.118311	0.298917	23.8537	0.00126165
194	2.07274	0.0137936	0.158287	2.46427	0.127271	0.254069	24.28	0.00127021
196	1.93481	0.0272781	0.125366	2.50252	0.141107	0.215211	24.3902	0.0013117
198	1.7959	0.0838277	0.0995332	2.54136	0.166841	0.18259	24.1916	0.0014299
200	1.6578	0.296233	0.0793933	2.58081	0.217385	0.155878	23.5877	0.00186956
